label,experiment,dim,n_layers,n_heads,n_kv_heads,vocab,tokenizer,quant,steps,converged,params_total,params_non_embed,val_loss,tokens_per_byte,bits_per_byte,coherence,checkpoint_dir,error
A,size_ladder,64,5,8,4,512,tok512,,5000,0,279232,246464,1.5695,0.4813,1.0898,,out,
2L_d48,shape,48,2,8,4,512,tok512,,5000,0,75504,50928,2.0576,0.4813,1.4288,,out_2L_d48,
2L_d64,shape,64,2,8,4,512,tok512,,5000,0,131392,98624,1.8203,0.4813,1.264,,out_2L_d64,
2L_d80,shape,80,2,8,4,512,tok512,,5000,0,187280,146320,1.7015,0.4813,1.1815,,out_2L_d80,
B,vocab,64,5,8,4,1024,tok1024,,5000,0,312000,246464,2.1171,0.3284,1.0029,,out_B,
B_long,vocab,64,5,8,4,1024,tok1024,,30000,1,312000,246464,1.7965,0.3284,0.8511,,out_B_long,
C,vocab,64,5,8,4,2048,tok2048,,5000,0,377536,246464,2.2865,0.2767,0.9129,,out_C,
C_long,vocab,64,5,8,4,2048,tok2048,,30000,1,377536,246464,1.9319,0.2767,0.7713,,out_C_long,
D,size_ladder,96,5,8,4,512,tok512,,5000,0,557088,507936,1.3195,0.4813,0.9163,,out_D,
E,size_ladder,64,8,8,4,512,tok512,,5000,0,427072,394304,1.4456,0.4813,1.0038,,out_E,
F,size_ladder,48,4,4,2,512,tok512,,5000,0,126384,101808,1.8705,0.4813,1.2989,,out_F,
G,size_ladder,128,3,8,4,512,tok512,,5000,0,619392,553856,1.3107,0.4813,0.9102,,out_G,
H,size_ladder,192,2,8,4,512,tok512,,5000,0,910272,811968,1.2344,0.4813,0.8571,,out_H,
I,size_ladder,256,1,8,4,512,tok512,,5000,0,869120,738048,1.3774,0.4813,0.9565,,out_I,
J,size_ladder,256,2,8,4,512,tok512,,5000,0,1606912,1475840,1.1056,0.4813,0.7677,,out_J,
char105,tokenizer,64,5,8,4,105,tok105,,5000,0,253184,246464,0.8257,1.0023,1.1941,,out_char105,
char105_long,tokenizer,64,5,8,4,105,tok105,,30000,1,253184,246464,0.6917,1.0023,1.0003,,out_char105_long,
data_s01,data_shards,64,5,8,4,512,tok512,,5000,0,279232,246464,1.5656,0.4813,1.0872,,out_data_s01,
data_s02,data_shards,64,5,8,4,512,tok512,,5000,0,279232,246464,1.5697,0.4813,1.09,,out_data_s02,
data_s04,data_shards,64,5,8,4,512,tok512,,5000,0,279232,246464,1.5646,0.4813,1.0865,,out_data_s04,
data_s08,data_shards,64,5,8,4,512,tok512,,5000,0,279232,246464,1.5646,0.4813,1.0865,,out_data_s08,
data_s16,data_shards,64,5,8,4,512,tok512,,5000,0,279232,246464,1.5677,0.4813,1.0886,,out_data_s16,
data_t10m,data_tokens,64,5,8,4,512,tok512,,5000,0,279232,246464,1.5731,0.4813,1.0923,,out_data_t10m,
data_t10m_long,data_tokens,64,5,8,4,512,tok512,,30000,1,279232,246464,1.3248,0.4813,0.9199,,out_data_t10m_long,
data_t1m,data_tokens,64,5,8,4,512,tok512,,5000,0,279232,246464,1.714,0.4813,1.1902,,out_data_t1m,
data_t1m_long,data_tokens,64,5,8,4,512,tok512,,30000,1,279232,246464,1.3298,0.4813,0.9234,,out_data_t1m_long,
data_t300k,data_tokens,64,5,8,4,512,tok512,,2000,0,279232,246464,2.0783,0.4813,1.4432,,out_data_t300k,
data_t300k_long,data_tokens,64,5,8,4,512,tok512,,30000,1,279232,246464,1.3476,0.4813,0.9358,,out_data_t300k_long,
data_t3m,data_tokens,64,5,8,4,512,tok512,,5000,0,279232,246464,1.6072,0.4813,1.1161,,out_data_t3m,
data_t3m_long,data_tokens,64,5,8,4,512,tok512,,30000,1,279232,246464,1.3255,0.4813,0.9204,,out_data_t3m_long,
dense_d80_dep,quant,80,5,8,4,512,tok512dep,,5000,0,406640,365680,1.7879,0.3677,0.9484,,out_dense_d80_dep,
depth_L1,depth,64,1,8,4,512,tok512,,5000,0,82112,49344,2.0125,0.4813,1.3975,,out_depth_L1,
depth_L1_long,depth,64,1,8,4,512,tok512,,30000,1,82112,49344,1.7705,0.4813,1.2294,,out_depth_L1_long,
depth_L2,depth,64,2,8,4,512,tok512,,5000,0,131392,98624,1.8203,0.4813,1.264,,out_depth_L2,
depth_L2_long,depth,64,2,8,4,512,tok512,,30000,1,131392,98624,1.5738,0.4813,1.0929,,out_depth_L2_long,
depth_L3,depth,64,3,8,4,512,tok512,,5000,0,180672,147904,1.6894,0.4813,1.1731,,out_depth_L3,
depth_L3_long,depth,64,3,8,4,512,tok512,,30000,1,180672,147904,1.4683,0.4813,1.0195,,out_depth_L3_long,
depth_L4,depth,64,4,8,4,512,tok512,,5000,0,229952,197184,1.6093,0.4813,1.1175,,out_depth_L4,
depth_L4_long,depth,64,4,8,4,512,tok512,,30000,1,229952,197184,1.3878,0.4813,0.9637,,out_depth_L4_long,
